[2025-11-22 08:26:29] --- FDM v9.4 (Resonant Inertia) Starting ---
[2025-11-23 18:57:08] Model: (1, 1, 1) | Price: $86,775.73 | FC (T+10): +7.45 | AIC: 1531.6 | Risk: 1.0
[2025-11-23 19:27:08] Model: (1, 1, 1) | Price: $86,907.33 | FC (T+10): -69.60 | AIC: 1530.9 | Risk: 1.0
[2025-11-23 19:57:09] Model: (1, 1, 1) | Price: $87,041.18 | FC (T+10): -57.33 | AIC: 1531.1 | Risk: 1.0
[2025-11-23 20:27:09] Model: (1, 1, 1) | Price: $87,470.14 | FC (T+10): -79.02 | AIC: 1530.7 | Risk: 1.0
[2025-11-23 20:57:10] Model: (1, 1, 1) | Price: $87,511.00 | FC (T+10): -54.70 | AIC: 1530.9 | Risk: 1.0
[2025-11-23 21:27:10] Model: (1, 1, 1) | Price: $87,628.78 | FC (T+10): -88.72 | AIC: 1530.4 | Risk: 1.0
[2025-11-23 21:57:11] Model: (1, 1, 1) | Price: $87,469.95 | FC (T+10): -73.85 | AIC: 1530.3 | Risk: 1.0
[2025-11-23 22:27:11] Model: (1, 1, 1) | Price: $87,502.93 | FC (T+10): -154.39 | AIC: 1530.9 | Risk: 1.0
[2025-11-23 22:57:12] Model: (1, 1, 1) | Price: $87,966.82 | FC (T+10): -155.32 | AIC: 1531.0 | Risk: 1.0
[2025-11-23 23:27:12] Model: (1, 1, 1) | Price: $87,880.70 | FC (T+10): +3.53 | AIC: 1523.0 | Risk: 1.0
[2025-11-23 23:57:13] Model: (1, 1, 1) | Price: $87,938.57 | FC (T+10): -2.51 | AIC: 1523.0 | Risk: 1.0
[2025-11-24 00:27:13] Model: (1, 1, 1) | Price: $87,028.55 | FC (T+10): +329.63 | AIC: 1522.3 | Risk: 1.2
[2025-11-24 00:57:14] Model: (1, 1, 1) | Price: $86,780.45 | FC (T+10): +452.23 | AIC: 1522.5 | Risk: 1.4
[2025-11-24 01:27:15] Model: (1, 1, 1) | Price: $86,448.90 | FC (T+10): +209.23 | AIC: 1522.5 | Risk: 1.4
[2025-11-24 01:57:15] Model: (1, 1, 1) | Price: $86,825.83 | FC (T+10): +204.21 | AIC: 1521.8 | Risk: 1.3
[2025-11-24 02:27:15] Model: (1, 1, 1) | Price: $86,781.23 | FC (T+10): -72.10 | AIC: 1521.9 | Risk: 1.2
[2025-11-24 02:57:16] Model: (1, 1, 1) | Price: $87,004.60 | FC (T+10): -42.34 | AIC: 1522.1 | Risk: 1.2
[2025-11-24 03:27:17] Model: (1, 1, 1) | Price: $87,830.53 | FC (T+10): +4.77 | AIC: 1522.9 | Risk: 1.1
[2025-11-24 03:57:17] Model: (1, 1, 1) | Price: $87,400.02 | FC (T+10): -34.52 | AIC: 1521.0 | Risk: 1.1
